lat, lng, stat, tr_id, rt_id, prv, occ, expctd_arrival,schdl_arrival, pnctDf, late, early, on_time, wthrDscr, tmp, vis
48.45015335083008,-123.50587463378906,2,1539462,93,BC_Transit_Victoria,0,1678251720,21:02:00,0,False,False,True,broken clouds,278.32,10000
48.43900680541992,-123.3620376586914,2,1536611,64,BC_Transit_Victoria,0,1678251720,21:01:00,1,True,False,False,broken clouds,278.91,10000
48.39881896972656,-123.59085083007812,2,1538318,104,BC_Transit_Victoria,0,1678251720,21:02:00,0,False,False,True,broken clouds,277.9,10000
48.4813346862793,-123.37810516357422,2,1538605,65,BC_Transit_Victoria,0,1678251720,21:03:00,-1,False,True,False,broken clouds,278.59,10000
48.4602165222168,-123.3817138671875,2,1539358,85,BC_Transit_Victoria,1,1678251720,21:03:00,-1,False,True,False,broken clouds,278.75,10000
48.43403625488281,-123.32915496826172,2,1538107,67,BC_Transit_Victoria,0,1678251720,21:05:00,-3,False,True,False,broken clouds,278.78,10000
48.479644775390625,-123.32305908203125,1,1538131,82,BC_Transit_Victoria,0,1678251720,21:02:00,0,False,False,True,broken clouds,278.57,10000
48.42603302001953,-123.35372924804688,2,1539823,82,BC_Transit_Victoria,0,1678251720,21:02:00,0,False,False,True,broken clouds,278.86,10000
48.54518127441406,-123.39083862304688,2,1539564,110,BC_Transit_Victoria,2,1678251960,21:07:00,-1,False,True,False,broken clouds,278.15,10000
48.449581146240234,-123.38490295410156,2,1537763,81,BC_Transit_Victoria,0,1678251720,21:02:00,0,False,False,True,broken clouds,278.83,10000
48.670799255371094,-123.42003631591797,2,1539120,110,BC_Transit_Victoria,0,1678251720,21:04:00,-2,False,True,False,broken clouds,278.21,10000
48.443519592285156,-123.37240600585938,2,1539112,78,BC_Transit_Victoria,1,1678251780,21:03:00,0,False,False,True,broken clouds,278.9,10000
48.426612854003906,-123.3368148803711,1,1539580,70,BC_Transit_Victoria,1,1678251720,21:02:00,0,False,False,True,broken clouds,278.64,10000
48.46228790283203,-123.40287780761719,2,1539015,78,BC_Transit_Victoria,0,1678251720,21:01:00,1,True,False,False,broken clouds,278.85,10000
48.43833541870117,-123.50680541992188,2,1536370,95,BC_Transit_Victoria,0,1678251720,21:06:00,-4,False,True,False,broken clouds,278.42,10000
48.53220748901367,-123.37779998779297,2,1538915,86,BC_Transit_Victoria,0,1678251720,21:01:00,1,True,False,False,broken clouds,278.43,10000
48.39558029174805,-123.60839080810547,2,1539239,104,BC_Transit_Victoria,0,1678251720,21:00:00,2,True,False,False,broken clouds,278.21,10000
48.546783447265625,-123.39147186279297,2,1538393,111,BC_Transit_Victoria,1,1678251720,21:00:00,2,True,False,False,broken clouds,278.15,10000
48.456947326660156,-123.38561248779297,2,1539810,93,BC_Transit_Victoria,1,1678251780,21:01:00,2,True,False,False,broken clouds,278.79,10000
48.4350471496582,-123.38261413574219,1,1539729,73,BC_Transit_Victoria,1,1678251720,21:02:00,0,False,False,True,broken clouds,278.84,10000
48.419559478759766,-123.49544525146484,2,1539870,95,BC_Transit_Victoria,0,1678251720,21:00:00,2,True,False,False,broken clouds,278.09,10000
48.438270568847656,-123.50394439697266,2,1539853,102,BC_Transit_Victoria,0,1678251720,21:01:00,1,True,False,False,broken clouds,278.43,10000
48.447147369384766,-123.41346740722656,2,1539841,73,BC_Transit_Victoria,1,1678251720,21:04:00,-2,False,True,False,broken clouds,278.75,10000
50.13527297973633,-122.95323181152344,2,143203,9,BC_Transit_Whistler,0,1678251780,20:59:00,4,True,False,False,broken clouds,270.24,10000
50.14536666870117,-122.95919036865234,2,143052,9,BC_Transit_Whistler,1,1678251720,21:01:00,1,True,False,False,broken clouds,270.28,10000
